conv_filter_count,conv_kernel_size,embedding_size,num_layers,epoch,acc,auroc,f1
2,2,256,1,5,19.3945,0.554,0.06735
2,2,256,1,10,22.0834,0.6015,0.08084
2,2,256,1,15,24.3489,0.6135,0.1038
2,2,256,1,20,27.6519,0.6261,0.1115
2,2,256,1,25,28.0754,0.6447,0.1081
2,2,256,1,30,29.9809,0.6523,0.1407
2,2,256,1,35,30.8702,0.6661,0.1551
2,2,256,1,40,31.6960,0.6823,0.1679
2,2,256,1,45,32.2253,0.6954,0.1717
2,2,256,1,50,31.1666,0.7067,0.1992
2,3,256,1,5,12.7885,0.5777,0.02268
2,3,256,1,10,12.9367,0.5923,0.02537
2,3,256,1,15,19.8814,0.5927,0.09401
2,3,256,1,20,27.5461,0.5869,0.1181
2,3,256,1,25,31.0819,0.5872,0.139
2,3,256,1,30,32.1406,0.6043,0.131
2,3,256,1,35,33.4321,0.636,0.1342
2,3,256,1,40,33.9826,0.6786,0.1421
2,3,256,1,45,35.1048,0.7066,0.1586
2,3,256,1,50,35.0625,0.7254,0.1594
8,2,256,1,5,21.6600,0.5848,0.1327
8,2,256,1,10,28.5624,0.6383,0.1685
8,2,256,1,15,36.3540,0.6992,0.2293
8,2,256,1,20,40.2710,0.7494,0.2607
8,2,256,1,25,44.9714,0.789,0.3421
8,2,256,1,30,48.2109,0.8197,0.3754
8,2,256,1,35,50.1588,0.8378,0.4004
8,2,256,1,40,50.9210,0.8471,0.4132
8,2,256,1,45,52.9325,0.853,0.4399
8,2,256,1,50,53.7370,0.859,0.4575
8,3,256,1,5,22.9303,0.6295,0.05174
8,3,256,1,10,29.4516,0.6943,0.1477
8,3,256,1,15,38.6619,0.7564,0.2858
8,3,256,1,20,43.6163,0.7942,0.3527
8,3,256,1,25,47.4275,0.8195,0.3989
8,3,256,1,30,51.0904,0.8399,0.44
8,3,256,1,35,52.4455,0.8521,0.463
8,3,256,1,40,53.6100,0.8599,0.4828
8,3,256,1,45,54.0970,0.8654,0.4856
8,3,256,1,50,54.8169,0.8676,0.4926
16,2,256,1,5,24.8147,0.6541,0.1103
16,2,256,1,10,35.8670,0.7368,0.2359
16,2,256,1,15,43.2776,0.7908,0.3375
16,2,256,1,20,47.4275,0.8204,0.3919
16,2,256,1,25,51.8738,0.8458,0.4502
16,2,256,1,30,55.9814,0.8643,0.4924
16,2,256,1,35,58.0140,0.8759,0.5156
16,2,256,1,40,58.4163,0.884,0.5306
16,2,256,1,45,59.0514,0.8899,0.5385
16,2,256,1,50,59.6019,0.8917,0.547
16,3,256,1,5,23.0362,0.6605,0.1253
16,3,256,1,10,34.9142,0.7289,0.2145
16,3,256,1,15,45.0985,0.7973,0.3603
16,3,256,1,20,52.3820,0.8455,0.455
16,3,256,1,25,56.4472,0.8665,0.5032
16,3,256,1,30,59.4961,0.8788,0.539
16,3,256,1,35,60.5547,0.8862,0.5505
16,3,256,1,40,61.4652,0.8921,0.5565
16,3,256,1,45,61.5922,0.894,0.555
16,3,256,1,50,61.9098,0.897,0.5667
2,2,256,3,5,13.7413,0.571,0.02416
2,2,256,3,10,13.7413,0.608,0.02416
2,2,256,3,15,22.1893,0.6178,0.06621
2,2,256,3,20,26.8050,0.6226,0.07885
2,2,256,3,25,29.0282,0.6342,0.1058
2,2,256,3,30,28.3718,0.6464,0.1028
2,2,256,3,35,30.4891,0.6677,0.1405
2,2,256,3,40,35.5918,0.6923,0.1985
2,2,256,3,45,36.7351,0.7124,0.2072
2,2,256,3,50,36.9257,0.7379,0.2111
2,3,256,3,5,15.9644,0.541,0.02753
2,3,256,3,10,15.4351,0.5514,0.04022
2,3,256,3,15,15.6257,0.5549,0.04755
2,3,256,3,20,24.3701,0.5642,0.103
2,3,256,3,25,26.7203,0.586,0.1263
2,3,256,3,30,28.3930,0.622,0.1493
2,3,256,3,35,29.6422,0.6736,0.1799
2,3,256,3,40,31.1666,0.7122,0.1902
2,3,256,3,45,33.3898,0.738,0.2075
2,3,256,3,50,34.4696,0.7472,0.2059
8,2,256,3,5,4.7851,0.6177,0.01175
8,2,256,3,10,18.3358,0.6592,0.1036
8,2,256,3,15,25.1958,0.6951,0.1598
8,2,256,3,20,43.2352,0.7763,0.314
8,2,256,3,25,47.0464,0.812,0.3721
8,2,256,3,30,49.2060,0.8312,0.3946
8,2,256,3,35,50.1164,0.8422,0.4178
8,2,256,3,40,51.2174,0.8512,0.4435
8,2,256,3,45,52.0644,0.8582,0.4603
8,2,256,3,50,52.6149,0.8613,0.4669
8,3,256,3,5,11.0523,0.6148,0.0557
