term,related_lang
'eid,Arabic
'ismah,Arabic
'umra,Arabic
-a-,French
-ability,Middle French
-acity,Latin
-ad,Ancient Greek
-ade,Spanish
-aemia,Ancient Greek
-aire,French
-algia,New Latin
-ancy,Latin
-aneous,Latin
-anth,Ancient Greek
-archy,Latin
-arium,Latin
-ast,Latin
-athlon,Ancient Greek
-atim,Latin
-ator,Latin
-biotic,Ancient Greek
-blast,Ancient Greek
-caine,German
-carpous,Ancient Greek
-centesis,Ancient Greek
-cephaly,German
-cephaly,Latin
-cephaly,French
-cide,Middle French
-cide,Middle French
-cole,French
-colous,Latin
-cracy,Ancient Greek
-crat,Ancient Greek
-derm,Ancient Greek
-derma,Ancient Greek
-dermatous,Ancient Greek
-desis,Ancient Greek
-ean,Latin
-een,Irish
-elle,French
-en,Old Norse
-enchyma,Ancient Greek
-esce,Latin
-escent,Latin
-esque,French
-gen,French
-genesis,Ancient Greek
-genic,French
-genic,Ancient Greek
-geny,Ancient Greek
-gerous,Latin
-giri,Hindi
-gon,Ancient Greek
-graphy,Ancient Greek
-hedra,Ancient Greek
-i-,Latin
-ian,Latin
-iatric,Ancient Greek
-iatrics,Ancient Greek
-iatry,Ancient Greek
-ica,Latin
-ienne,French
-ile,Latin
-illiard,French
-ismus,Latin
-ist,Latin
-ista,Spanish
-kinesis,Ancient Greek
-lalia,Ancient Greek
-lepsy,Ancient Greek
-logic,French
-logue,French
-lyte,Ancient Greek
-mancy,Latin
-mane,French
-meister,German
-mer,Ancient Greek
-metric,French
-morph,Ancient Greek
-morphy,Ancient Greek
-mycete,Ancient Greek
-naut,Ancient Greek
-nema,Ancient Greek
-nil-,Latin
-nomy,Ancient Greek
-o-,Latin
-ode,Ancient Greek
-odont,Ancient Greek
-odynia,Ancient Greek
-oi,Ancient Greek
-opsia,Koine Greek
-opsy,Ancient Greek
-orium,Latin
-os-,Latin
-ose,Latin
-otic,French
-path,Ancient Greek
-penia,Ancient Greek
-phage,Latin
-phone,Ancient Greek
-phore,New Latin
-phoresis,Ancient Greek
-phyllous,Ancient Greek
-phyllous,Latin
-phyte,Ancient Greek
-plasia,New Latin
-pnea,Ancient Greek
-pod,Ancient Greek
-poiesis,Ancient Greek
-poleis,Ancient Greek
-pter,Ancient Greek
-rrhagia,Latin
-rrhea,Ancient Greek
-rrhexis,Ancient Greek
-sama,Japanese
-saur,Ancient Greek
-ski,Russian
-sol,Latin
-some,Ancient Greek
-some,Ancient Greek
-strophy,Ancient Greek
-style,Ancient Greek
-tene,Ancient Greek
-therm,Ancient Greek
-treme,New Latin
-tropic,Ancient Greek
-tropy,French
-un-,Latin
-urgy,Ancient Greek
-uria,Latin
-ville,French
-y,Scots
-zoic,Ancient Greek
1-up,Japanese
175er,German
911,German
A Coruña,Galician
"A""H",Hebrew
AIVD,Dutch
AK-47,Russian
ARA,Spanish
ARC,Spanish
AV,Japanese
Aafia,Urdu
Aagaard,Danish
Aagaard,Norwegian
Aamodt,Norwegian
Aamoth,Norwegian
Aaron,Latin
Aashaadha,Sanskrit
Aatxe,Basque
Aatxegorri,Basque
Ab,Hebrew
Ababda,Arabic
Ababil,Arabic
Abadi,Arabic
Abadi,Amharic
Aban,Persian
Abanic,Ojibwe
Abashev,Russian
Abastumani,Georgian
Abate,Italian
Abaya,Tagalog
Abaza,Abaza
Abazin,Russian
Abbas,Arabic
Abbasi,Arabic
Abbasi,Persian
Abbate,Italian
Abbatiello,Italian
Abbay,Amharic
Abbeville,French
Abdelrahman,Arabic
Abdiel,Hebrew
Abdon,Hebrew
Abdon,Spanish
Abdullah,Arabic
Abdullatif,Arabic
Abdulmalik,Arabic
Abe,Japanese
Abe,Japanese
Abe,Japanese
Abed,Arabic
Abednego,Hebrew
Abela,Maltese
Abello,Spanish
Abelmann,German
Abeln,German
Abenaki,French
Abend,German
Abenlen,Ilocano
Abeokuta,Yoruba
Aber,Welsh
Abertawe,Welsh
Abeyta,Spanish
Abgar,Classical Syriac
Abgesang,German
Abhimanyu,Sanskrit
Abhishikt,Sanskrit
Abiah,Hebrew
Abib,Hebrew
Abiezer,Hebrew
Abigail,Hebrew
Abijah,Hebrew
Abimelech,Hebrew
Abiodun,Yoruba
Abipón,Spanish
Abitibi,Algonquin
Abitur,German
Abiturient,German
Abkhas,Russian
Abkhaz,Russian
Abkhazia,Russian
Abler,German
Abonce,Spanish
Abovyan,Armenian
Abqaiq,Arabic
Abrahamyan,Armenian
Abrahan,Spanish
Abramo,Italian
Abrantes,Portuguese
Abrasax,Late Latin
Abrek,Russian
Abreo,Spanish
Abreu,Portuguese
Abri Audit,French
Abrigo,Spanish
Abruzzese,Italian
Abruzzo,Italian
Absaroka,Dakota
Absyrtus,Ancient Greek
Abu,Japanese
Abu Dhabi,Arabic
Abu Grein,Arabic
Abubakar,Arabic
Abui,Abui
Abuladze,Georgian
Abun,Tigrinya
Abuna,Ge'ez
Abundez,Spanish
Abushanab,Arabic
Acacius,Ancient Greek
Acampora,Italian
Acapulco,Spanish
Acayucan,Spanish
Accardi,Italian
Accetta,Italian
Accompong,Jamaican Creole
Accurso,Italian
Acebo,Spanish
Acemoglu,Turkish
Aceves,Spanish
Achaemenes,Ancient Greek
Achaemenes,Old Persian
Achakzai,Pashto
Acharya,Sanskrit
Achebe,Igbo
Acheron,Latin
Achi,Hokkien
Achilles,Latin
Achlys,Ancient Greek
Achomi,Lari
Achterberg,Dutch
Acierno,Italian
Ackert,German
Ackinchesacky,Unami
Acmeism,Russian
Acoba,Ilocano
Acoetes,Latin
Acosta,Spanish
Acosta,Catalan
Acre,Portuguese
Acre,French
Acri,Italian
Acropolis,Ancient Greek
Actaeon,Latin
Actium,Latin
Adachi,Japanese
Adad,Akkadian
Adamantidis,Greek
Adamaua Fulfulde,Fula
Adamczak,Polish
Adamec,Slovak
Adamnan,Old Irish
Adar,Hebrew
Addamo,Italian
Addeo,Italian
Addis Ababa,Amharic
Adebayo,Yoruba
Adel,Arabic
Adel,German
Adelaide,French
Adele,French
Adelmann,German
Adem,Amharic
Adephagia,Ancient Greek
Aderhold,German
Adeyemi,Yoruba
Adeyemo,Yoruba
Adhikari,Sanskrit
Adige,Italian
Adithya,Sanskrit
Aditi,Sanskrit
Aditya,Sanskrit
Adiv,Hebrew
Adivasi,New Sanskrit
Adjara,Georgian
Adnan,Arabic
Adolphe,French
Adolphus,Latin
Adonai,Hebrew
Adoo,Arabic
Adornato,Italian
Adragna,Italian
Adrastea,Ancient Greek
Adrianople,Latin
Adrianopolis,Latin
Adrianopolitan,Latin
Adriel,Hebrew
Adrien,French
Adullam,Hebrew
Advani,Hindi
Advincula,Spanish
Adyghe,Adyghe
Adzharia,Russian
Aeacus,Ancient Greek
Aeaea,Ancient Greek
Aegyptus,Latin
Aelita,Russian
Aeniania,Ancient Greek
Aeolis,Ancient Greek
Aeolis Mons,Translingual
Aeroflot,Russian
Aetna,Latin
AfD,German
Afan,Welsh
Afanasy,Russian
Affenspalte,German
Afghan,Persian
Afghanistan,Persian
Afolabi,Yoruba
Afrasiab,Persian
Afrasian,Russian
Afrikaans,Afrikaans
Afrikaans,Dutch
Afrikaner,Afrikaans
Afro-Ecuadorian,Spanish
Afterlehen,German
Afyonkarahisar,Turkish
Aga,Turkish
Aga,Norwegian
Aga,Amharic
Agame,Tigrinya
Agamemnon,Ancient Greek
Agapemone,Ancient Greek
Agarak,Armenian
Agatha,Ancient Greek
Agcaoili,Ilocano
Agdam,Russian
Agdam,Azerbaijani
Aghdara,Azerbaijani
Aghighi,Persian
Aghori,Sanskrit
Aghvank,Armenian
Aghwan,Armenian
Aglianico,Italian
Agnes,Ancient Greek
Agni,Sanskrit
Agnihotri,Sanskrit
Agnus Dei,Latin
Agopian,Armenian
Agosta,Italian
Agostinelli,Italian
Agostini,Italian
Agramonte,Galician
Agreda,Spanish
Agresti,Italian
Agrigento,Italian
Agrillo,Italian
Agrippa,Latin
Aguascalientes,Spanish
Aguayo,Spanish
Aguila,Spanish
Aguilar,Spanish
Aguiluz,Spanish
Aguinaga,Spanish
Aguiniga,Spanish
Aguirre,Spanish
Agundez,Spanish
Agustin,Spanish
Ah Beng,Hokkien
Ah Chee,Chinese
Ah Chek,Hokkien
