model,epoch,acc,auroc,f1,hyperparams
rnn,5,29.0282,0.7076,0.1298,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f65b1de8220>}
rnn,10,52.4878,0.8368,0.4041,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f65b1de8220>}
rnn,15,58.7762,0.8852,0.5134,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f65b1de8220>}
rnn,20,63.7519,0.9061,0.5755,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f65b1de8220>}
rnn,25,66.9278,0.9203,0.6211,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f65b1de8220>}
rnn,30,67.0337,0.9225,0.6152,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f65b1de8220>}
rnn,35,68.6216,0.9326,0.6438,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f65b1de8220>}
rnn,40,68.6216,0.9319,0.6432,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f65b1de8220>}
rnn,45,69.1933,0.9362,0.6541,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f65b1de8220>}
rnn,50,69.2992,0.9365,0.6548,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 1; 'factory': <function build_rnn at 0x7f65b1de8220>}
rnn,5,40.5674,0.7629,0.2476,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,10,58.6280,0.8707,0.4885,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,15,66.8855,0.9182,0.6168,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,20,67.9018,0.9301,0.6342,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,25,68.8545,0.9367,0.6541,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,30,69.6591,0.9366,0.6667,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,35,70.8660,0.9356,0.6779,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,40,68.0711,0.9278,0.6526,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,45,69.5109,0.9307,0.6629,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,50,69.5744,0.9304,0.6607,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 3; 'factory': <function build_rnn at 0x7f2dd815fe20>}
rnn,5,47.1734,0.7972,0.3209,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,10,61.1476,0.8925,0.5348,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,15,67.7959,0.9214,0.6355,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,20,69.3839,0.931,0.6552,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,25,68.3252,0.9263,0.6514,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,30,68.4946,0.9245,0.6484,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
rnn,35,69.0239,0.9285,0.6479,{'input': PosixPath('data/etymology_top10.csv'); 'output': PosixPath('imgs'); 'eval_every': 5; 'embedding_size': 256; 'batch_size': 256; 'num_epochs': 50; 'lr': 1.0; 'rnn_type': 'rnn'; 'num_layers': 6; 'factory': <function build_rnn at 0x7febdc8b4220>}
