rnn_type,embedding_size,num_layers,epoch,acc,auroc,f1
rnn,256,1,5,29.0282,0.7076,0.1298
rnn,256,1,10,52.4878,0.8368,0.4041
rnn,256,1,15,58.7762,0.8852,0.5134
rnn,256,1,20,63.7519,0.9061,0.5755
rnn,256,1,25,66.9278,0.9203,0.6211
rnn,256,1,30,67.0337,0.9225,0.6152
rnn,256,1,35,68.6216,0.9326,0.6438
rnn,256,1,40,68.6216,0.9319,0.6432
rnn,256,1,45,69.1933,0.9362,0.6541
rnn,256,1,50,69.2992,0.9365,0.6548
rnn,256,3,5,40.5674,0.7629,0.2476
rnn,256,3,10,58.6280,0.8707,0.4885
rnn,256,3,15,66.8855,0.9182,0.6168
rnn,256,3,20,67.9018,0.9301,0.6342
rnn,256,3,25,68.8545,0.9367,0.6541
rnn,256,3,30,69.6591,0.9366,0.6667
rnn,256,3,35,70.8660,0.9356,0.6779
rnn,256,3,40,68.0711,0.9278,0.6526
rnn,256,3,45,69.5109,0.9307,0.6629
rnn,256,3,50,69.5744,0.9304,0.6607
rnn,256,6,5,47.1734,0.7972,0.3209
rnn,256,6,10,61.1476,0.8925,0.5348
rnn,256,6,15,67.7959,0.9214,0.6355
rnn,256,6,20,69.3839,0.931,0.6552
rnn,256,6,25,68.3252,0.9263,0.6514
rnn,256,6,30,68.4946,0.9245,0.6484
rnn,256,6,35,69.0239,0.9285,0.6479
rnn,256,6,40,67.5206,0.9177,0.6373
rnn,256,6,45,69.2357,0.9215,0.6499
rnn,256,6,50,68.4734,0.9171,0.6497
rnn,256,10,5,50.2011,0.809,0.3489
rnn,256,10,10,61.4016,0.8915,0.5232
rnn,256,10,15,63.7307,0.9084,0.589
rnn,256,10,20,66.9913,0.9128,0.6137
rnn,256,10,25,65.7633,0.9102,0.6124
rnn,256,10,30,68.7910,0.9136,0.6396
rnn,256,10,35,66.0385,0.9081,0.6229
rnn,256,10,40,66.4620,0.9135,0.6265
rnn,256,10,45,66.6314,0.9039,0.6287
rnn,256,10,50,66.3561,0.9032,0.6097
gru,256,1,5,24.9418,0.6884,0.07768
gru,256,1,10,53.4194,0.8354,0.4005
gru,256,1,15,62.9473,0.8935,0.5527
gru,256,1,20,68.0500,0.9226,0.6329
gru,256,1,25,69.7226,0.9332,0.6576
gru,256,1,30,70.8236,0.9402,0.6717
gru,256,1,35,71.2259,0.9394,0.6748
gru,256,1,40,70.8660,0.9385,0.6773
gru,256,1,45,70.6331,0.9374,0.6748
gru,256,1,50,70.8236,0.9366,0.679
gru,256,3,5,37.1586,0.7381,0.228
gru,256,3,10,60.3007,0.8819,0.5222
gru,256,3,15,67.6477,0.9228,0.6285
gru,256,3,20,69.6168,0.9402,0.6656
gru,256,3,25,69.9979,0.9353,0.6707
gru,256,3,30,70.5272,0.9298,0.6732
gru,256,3,35,67.8806,0.9305,0.6513
gru,256,3,40,69.2568,0.9283,0.6695
gru,256,3,45,70.0614,0.9291,0.6709
gru,256,3,50,70.2731,0.9254,0.6759
gru,256,6,5,40.6945,0.7558,0.2802
gru,256,6,10,58.3739,0.8757,0.4864
gru,256,6,15,65.3398,0.9185,0.6159
gru,256,6,20,68.3464,0.9318,0.6496
gru,256,6,25,70.2308,0.9306,0.6681
gru,256,6,30,70.2731,0.93,0.6767
gru,256,6,35,69.6379,0.917,0.659
gru,256,6,40,68.5369,0.9165,0.6496
gru,256,6,45,69.1721,0.9156,0.657
gru,256,6,50,69.0239,0.9149,0.6552
gru,256,10,5,27.8848,0.7038,0.1047
gru,256,10,10,50.0741,0.8239,0.3529
gru,256,10,15,61.4228,0.8889,0.539
gru,256,10,20,67.0337,0.9175,0.6312
gru,256,10,25,67.9441,0.9142,0.6342
gru,256,10,30,69.4897,0.9179,0.6564
gru,256,10,35,69.4050,0.9141,0.6588
gru,256,10,40,68.1135,0.914,0.6508
gru,256,10,45,68.1770,0.9085,0.6451
gru,256,10,50,67.7747,0.9032,0.6435
lstm,256,1,5,23.3961,0.6734,0.05734
lstm,256,1,10,52.3396,0.8309,0.3698
lstm,256,1,15,62.6509,0.8906,0.5376
lstm,256,1,20,67.1819,0.9203,0.6245
lstm,256,1,25,68.8757,0.9321,0.6453
lstm,256,1,30,69.5321,0.9386,0.6624
lstm,256,1,35,70.2096,0.938,0.6695
lstm,256,1,40,70.6754,0.9391,0.6739
lstm,256,1,45,70.4849,0.9385,0.6774
