nhead,embedding_size,num_layers,epoch,acc,auroc,f1
1,256,1,5,44.2727,0.8204,0.3724
1,256,1,10,51.7891,0.8735,0.4845
1,256,1,15,53.8429,0.8882,0.5071
1,256,1,20,54.8592,0.8929,0.528
1,256,1,25,55.3038,0.8955,0.5307
1,256,1,30,55.0921,0.8877,0.5117
1,256,1,35,54.0123,0.8825,0.5153
1,256,1,40,53.5676,0.8771,0.5063
1,256,1,45,51.1116,0.8736,0.499
1,256,1,50,52.0644,0.8708,0.5062
4,256,1,5,45.7125,0.8326,0.398
4,256,1,10,51.2174,0.8772,0.4815
4,256,1,15,54.5839,0.8913,0.5111
4,256,1,20,54.9015,0.8929,0.506
4,256,1,25,54.7322,0.8934,0.5269
4,256,1,30,54.0546,0.8896,0.5233
4,256,1,35,53.8641,0.8854,0.5123
4,256,1,40,52.5725,0.8752,0.5085
4,256,1,45,52.3184,0.8762,0.4958
4,256,1,50,50.6458,0.8682,0.4917
8,256,1,5,44.8656,0.8258,0.373
8,256,1,10,52.3396,0.8753,0.5006
8,256,1,15,54.4357,0.8855,0.5108
8,256,1,20,55.4944,0.8925,0.5285
8,256,1,25,54.5416,0.8926,0.5295
8,256,1,30,53.9911,0.888,0.5182
8,256,1,35,51.2386,0.8778,0.4778
8,256,1,40,54.1605,0.879,0.521
8,256,1,45,52.7631,0.876,0.5133
8,256,1,50,52.5090,0.8709,0.5016
16,256,1,5,45.5007,0.8289,0.3975
16,256,1,10,51.7044,0.8742,0.477
16,256,1,15,54.4146,0.8912,0.5204
16,256,1,20,54.3934,0.8951,0.5183
16,256,1,25,53.5253,0.893,0.5127
16,256,1,30,54.8592,0.8911,0.527
16,256,1,35,52.1491,0.882,0.4933
16,256,1,40,52.1491,0.8763,0.5035
16,256,1,45,51.3233,0.8748,0.4885
16,256,1,50,51.6409,0.8721,0.5033
1,256,3,5,48.6979,0.8457,0.4511
1,256,3,10,52.3396,0.8871,0.5001
1,256,3,15,52.7419,0.8872,0.4908
1,256,3,20,53.1442,0.8826,0.4969
1,256,3,25,53.1230,0.879,0.4985
1,256,3,30,51.7468,0.8681,0.4937
1,256,3,35,51.9373,0.8709,0.4938
1,256,3,40,49.9894,0.8642,0.4775
1,256,3,45,48.4014,0.8534,0.4694
